number,value,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,state
80,0.8803183369144324,0.07347237869332693,43,300,123,6.108336490051956,COMPLETE
81,0.8815701348546515,0.011175366390740434,33,500,73,0.0004170917263717098,COMPLETE
82,0.8815701348546515,0.012873704145574188,31,450,64,0.0013676538374404394,COMPLETE
83,0.8804948228399991,0.013891721028300047,29,400,38,0.0014240491237262516,COMPLETE
84,0.8799646693339159,0.015966796977655958,26,500,52,0.0007373759492573736,COMPLETE
85,0.8815701348546515,0.01773292229238644,34,100,66,0.0036671379742228938,COMPLETE
86,0.878889765485861,0.019767048703524914,50,350,49,0.0018361917393563277,COMPLETE
87,0.8787192491880053,0.08860125193863681,38,450,75,0.9845657384712345,COMPLETE
88,0.8815701348546515,0.05341301351116002,24,150,34,0.0056454463839651055,COMPLETE
89,0.8815701348546515,0.026051345691795128,32,250,90,0.00027893104865932104,COMPLETE
90,0.8804948228399991,0.022037939676901316,45,450,41,0.41918686454230825,COMPLETE
91,0.8815701348546515,0.02226842825145702,36,200,86,3.022150612209741,COMPLETE
92,0.8815701348546515,0.011046983046596962,28,250,100,4.270847233516683,COMPLETE
93,0.8804948228399991,0.01450928977637323,39,250,23,6.342439232006987,COMPLETE
94,0.8804948228399991,0.024655764716465273,31,150,99,0.058353028090751255,COMPLETE
95,0.8815701348546515,0.017137001229962805,34,200,89,0.042941191894819854,COMPLETE
96,0.8800572145081055,0.08256181041402819,36,300,57,0.0009220123035902193,COMPLETE
97,0.8784530154880649,0.19206206762417508,27,250,80,0.0029974624230940335,COMPLETE
98,0.8815701348546515,0.020062191277465828,41,100,30,0.07861164465926934,COMPLETE
99,0.8815701348546515,0.010117219876436207,37,150,61,0.0016200464842474793,COMPLETE
